"RUP_ID","MapScale","length_m","Rank","NODE_ID","Latitude","Longitude"
1,"1:62,500",485.193,"Principal",1,40.6193818122294,-117.45350370429
1,"1:62,500",485.193,"Principal",2,40.6186103965451,-117.453935413985
1,"1:62,500",485.193,"Principal",3,40.6180159110636,-117.454246811142
1,"1:62,500",485.193,"Principal",4,40.6177611315715,-117.454374200888
1,"1:62,500",485.193,"Principal",5,40.6172515725874,-117.454402509721
1,"1:62,500",485.193,"Principal",6,40.616784476852,-117.454643134797
1,"1:62,500",485.193,"Principal",7,40.6162890722841,-117.455025304035
1,"1:62,500",485.193,"Principal",8,40.6159352118784,-117.455393318857
1,"1:62,500",485.193,"Principal",9,40.6154539617267,-117.455817951343
2,"1:62,500",142.29,"Distributed",1,40.2347318550179,-117.6431646749
2,"1:62,500",142.29,"Distributed",2,40.2345273724249,-117.643266916196
2,"1:62,500",142.29,"Distributed",3,40.2342764165153,-117.643350568166
2,"1:62,500",142.29,"Distributed",4,40.2341184072389,-117.643387746819
2,"1:62,500",142.29,"Distributed",5,40.2339325139725,-117.643387746819
2,"1:62,500",142.29,"Distributed",6,40.2337652100327,-117.643378452156
2,"1:62,500",142.29,"Distributed",7,40.2334770754699,-117.643341273503
3,"1:62,500",1603.94,"Principal",1,40.6143923805098,-117.458309128599
3,"1:62,500",1603.94,"Principal",2,40.6135148067038,-117.459823651135
3,"1:62,500",1603.94,"Principal",3,40.6129910933034,-117.460559680779
3,"1:62,500",1603.94,"Principal",4,40.6124532254868,-117.461125857428
3,"1:62,500",1603.94,"Principal",5,40.6119365892946,-117.461876041488
3,"1:62,500",1603.94,"Principal",6,40.6114694935591,-117.462527144634
3,"1:62,500",1603.94,"Principal",7,40.6111014787372,-117.462824387375
3,"1:62,500",1603.94,"Principal",8,40.6108325448289,-117.463093321283
3,"1:62,500",1603.94,"Principal",9,40.6105353020882,-117.463716115597
3,"1:62,500",1603.94,"Principal",10,40.6100115886878,-117.46449460849
3,"1:62,500",1603.94,"Principal",11,40.6096011106173,-117.46490508656
3,"1:62,500",1603.94,"Principal",12,40.6088792353898,-117.46524479255
3,"1:62,500",1603.94,"Principal",13,40.6084262940705,-117.465457108793
3,"1:62,500",1603.94,"Principal",14,40.6081007424973,-117.466094057523
3,"1:62,500",1603.94,"Principal",15,40.6078459630053,-117.466575307675
3,"1:62,500",1603.94,"Principal",16,40.6072797863562,-117.467014094578
3,"1:62,500",1603.94,"Principal",17,40.6065720655449,-117.467438727065
3,"1:62,500",1603.94,"Principal",18,40.6059068079823,-117.46801905813
3,"1:62,500",1603.94,"Principal",19,40.6052557048359,-117.468613543612
3,"1:62,500",1603.94,"Principal",20,40.6040738110811,-117.470255455894
3,"1:62,500",1603.94,"Principal",21,40.6037624139241,-117.470623470716
4,"1:62,500",112.312,"Distributed",1,40.2344537896736,-117.642238306789
4,"1:62,500",112.312,"Distributed",2,40.2341501640052,-117.642132967271
4,"1:62,500",112.312,"Distributed",3,40.2339642707388,-117.642015234869
4,"1:62,500",112.312,"Distributed",4,40.2338093596835,-117.641891306025
4,"1:62,500",112.312,"Distributed",5,40.2335553055528,-117.641748787854
4,"1:62,500",112.312,"Distributed",6,40.2335243233417,-117.64173639497
5,"1:62,500",300.445,"Principal",1,40.6035317173057,-117.470934918788
5,"1:62,500",300.445,"Principal",2,40.6030215473396,-117.471629316797
5,"1:62,500",300.445,"Principal",3,40.6025822343132,-117.472182000927
5,"1:62,500",300.445,"Principal",4,40.6021287498988,-117.472550457014
5,"1:62,500",300.445,"Principal",5,40.6017319510363,-117.472635485342
5,"1:62,500",300.445,"Principal",6,40.6013068093978,-117.472677999505
6,"1:62,500",72.1059,"Distributed",1,40.2337597881458,-117.642368432075
6,"1:62,500",72.1059,"Distributed",2,40.2335305197839,-117.642269289
6,"1:62,500",72.1059,"Distributed",3,40.2333880016131,-117.642201128136
6,"1:62,500",72.1059,"Distributed",4,40.233270269211,-117.642126770829
6,"1:62,500",72.1059,"Distributed",5,40.233152536809,-117.642071002849
7,"1:62,500",634.486,"Principal",1,40.5986425884636,-117.474633651042
7,"1:62,500",634.486,"Principal",2,40.5980615615577,-117.475115478232
7,"1:62,500",634.486,"Principal",3,40.5975513915916,-117.475611476811
7,"1:62,500",634.486,"Principal",4,40.5972537924447,-117.476107475389
7,"1:62,500",634.486,"Principal",5,40.5965735658232,-117.476631816743
7,"1:62,500",634.486,"Principal",6,40.5961059100209,-117.476971930054
7,"1:62,500",634.486,"Principal",7,40.5953973406235,-117.477680499451
7,"1:62,500",634.486,"Principal",8,40.5949155134333,-117.478048955538
7,"1:62,500",634.486,"Principal",9,40.5937818023974,-117.478176498029
8,"1:62,500",119.605,"Principal",1,40.5934558604746,-117.478360726073
8,"1:62,500",119.605,"Principal",2,40.5923788349906,-117.47837489746
9,"1:62,500",260.039,"Distributed",1,40.592265463887,-117.476886901726
9,"1:62,500",260.039,"Distributed",2,40.5917694653088,-117.477014444217
9,"1:62,500",260.039,"Distributed",3,40.5914718661619,-117.477014444217
9,"1:62,500",260.039,"Distributed",4,40.5908341537042,-117.476901073114
9,"1:62,500",260.039,"Distributed",5,40.5899413562635,-117.476816044786
10,"1:62,500",131.12,"Distributed",1,40.5883399894254,-117.478913410203
10,"1:62,500",131.12,"Distributed",2,40.5879715333387,-117.479281866289
10,"1:62,500",131.12,"Distributed",3,40.5875038775364,-117.479522779884
10,"1:62,500",131.12,"Distributed",4,40.5872913067172,-117.479565294048
11,"1:62,500",255.787,"Principal",1,40.5866535942596,-117.482909741604
11,"1:62,500",255.787,"Principal",2,40.5862851381729,-117.483575796837
11,"1:62,500",255.787,"Principal",3,40.5858883393104,-117.484015109864
11,"1:62,500",255.787,"Principal",4,40.5855907401635,-117.484156823743
11,"1:62,500",255.787,"Principal",5,40.585179769913,-117.484227680683
11,"1:62,500",255.787,"Principal",6,40.5847546282745,-117.484199337907
12,"1:62,500",95.5118,"Principal",1,40.5843861721879,-117.484241852071
12,"1:62,500",95.5118,"Principal",2,40.583535888911,-117.484071795416
13,"1:62,500",1859.04,"Principal",1,40.2346644687088,-117.641748787854
13,"1:62,500",1859.04,"Principal",2,40.2344290039048,-117.641562894588
13,"1:62,500",1859.04,"Principal",3,40.2341625568896,-117.64151332305
13,"1:62,500",1859.04,"Principal",4,40.2339146992011,-117.641531912377
13,"1:62,500",1859.04,"Principal",5,40.2337040201659,-117.64162485901
13,"1:62,500",1859.04,"Principal",6,40.2335243233417,-117.641730198528
13,"1:62,500",1859.04,"Principal",7,40.2331463403668,-117.642058609965
13,"1:62,500",1859.04,"Principal",8,40.2328798933516,-117.642188735251
13,"1:62,500",1859.04,"Principal",9,40.2326072498943,-117.642387021402
13,"1:62,500",1859.04,"Principal",10,40.2321796953816,-117.642795986588
13,"1:62,500",1859.04,"Principal",11,40.2318760697132,-117.643074826488
13,"1:62,500",1859.04,"Principal",12,40.2316839800046,-117.643242130427
